# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	epsilon       
3             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	5.449781e-02
4             	1.750695e-01	5.390571e-01	1.993613e-01	4.551884e-01	5.086926e-02	3.405928e-03
5             	9.527233e-02	4.123181e-01	2.329094e-03	4.736575e-02	4.843019e-03	4.176792e-04
6             	8.908517e-02	2.416065e-01	5.153190e-04	7.377180e-03	4.677275e-04	4.988393e-05
7             	1.213629e-01	3.114219e-01	1.850990e-04	9.610994e-03	4.784599e-05	6.641998e-06
8             	3.335630e-01	6.933405e-02	1.064646e-04	7.670978e-03	8.677170e-06	2.349248e-06
9             	1.372280e-01	1.923390e-02	1.493332e-04	1.137457e-03	5.626150e-06	2.542958e-06
10            	1.535270e-01	2.702740e-02	1.785719e-04	9.372564e-04	5.931502e-06	3.327598e-06
11            	5.982828e-01	2.944500e-02	7.761484e-05	4.350057e-03	3.616362e-06	2.271012e-06
12            	1.494342e-01	1.331187e-02	2.089595e-04	1.891884e-03	3.054081e-06	1.913449e-06
13            	1.337532e-01	1.806189e-02	2.328041e-04	2.470747e-03	4.562978e-06	2.946481e-06
14            	1.842870e-01	4.938580e-02	1.319231e-04	8.236377e-03	5.299459e-06	3.459765e-06
15            	3.086430e-01	7.784169e-02	9.181814e-05	1.514472e-03	4.104683e-06	2.822522e-06
16            	1.797966e-01	5.465639e-02	1.914187e-04	1.437963e-03	5.469302e-06	4.115381e-06
17            	1.804557e-01	2.779608e-02	1.886842e-04	2.691737e-03	5.371470e-06	4.163733e-06
18            	6.162998e-01	2.708499e-02	1.054688e-04	7.323257e-03	4.595555e-06	3.514753e-06
19            	1.987695e-01	3.321997e-02	2.028261e-04	1.373964e-02	5.362855e-06	4.107388e-06
20            	1.671730e-01	5.757397e-02	2.628476e-04	6.425127e-03	5.165009e-06	3.900531e-06
21            	2.046740e-01	6.645300e-02	1.980038e-04	3.579896e-03	5.381644e-06	4.067035e-06
22            	5.487894e-01	4.870287e-02	1.496160e-04	2.680675e-03	6.565829e-06	5.360386e-06
23            	2.488070e-01	4.692421e-02	2.198558e-04	3.663871e-03	7.098290e-06	5.945891e-06
24            	2.247819e-01	3.627326e-02	2.389112e-04	4.369367e-03	8.315074e-06	7.018573e-06
25            	3.499544e-01	4.165273e-02	1.902627e-04	5.508206e-03	4.929562e-06	4.163353e-06
26            	2.714376e-01	4.927593e-02	1.984613e-04	7.511746e-03	6.856681e-06	5.751325e-06
27            	1.873479e-01	5.264571e-02	2.664072e-04	6.392577e-03	4.519658e-06	3.794846e-06
28            	1.689040e-01	4.278584e-02	2.539658e-04	4.543839e-03	3.446695e-06	2.879239e-06
29            	2.035719e-01	3.927815e-02	1.845878e-04	3.840340e-03	5.709664e-06	4.655946e-06
30            	3.735871e-01	3.162570e-02	1.616243e-04	3.291490e-03	6.050915e-06	4.810175e-06
31            	3.689418e-01	2.546796e-02	1.726791e-04	2.799243e-03	6.599154e-06	5.139690e-06
32            	3.362662e-01	2.600471e-02	1.642008e-04	2.956064e-03	6.607210e-06	5.061297e-06
33            	4.125331e-01	2.790188e-02	1.413632e-04	3.260051e-03	5.397808e-06	4.078319e-06
34            	2.103390e-01	2.816261e-02	1.354834e-04	3.338795e-03	5.750858e-06	4.307660e-06
35            	1.558843e-01	2.631846e-02	1.363089e-04	3.124732e-03	5.950890e-06	4.426667e-06
36            	1.404430e-01	2.318347e-02	1.266407e-04	2.812186e-03	5.180222e-06	3.832594e-06
37            	1.353379e-01	1.990381e-02	1.082107e-04	2.372421e-03	5.210276e-06	3.837478e-06
38            	1.467970e-01	1.695569e-02	9.902558e-05	1.970678e-03	4.734831e-06	3.474052e-06
39            	1.681018e-01	1.494194e-02	9.718554e-05	1.734529e-03	5.602611e-06	4.126322e-06
40            	1.727904e-01	1.448986e-02	9.562380e-05	1.677367e-03	6.402650e-06	4.693845e-06
41            	1.467746e-01	1.473649e-02	9.361362e-05	1.733845e-03	5.283539e-06	3.868798e-06
42            	1.125464e-01	1.462913e-02	9.102571e-05	1.769947e-03	4.786584e-06	3.517897e-06
43            	8.961547e-02	1.385858e-02	8.823336e-05	1.745678e-03	4.830490e-06	3.569053e-06
44            	7.668548e-02	1.260397e-02	8.445568e-05	1.657475e-03	5.656023e-06	4.199103e-06
45            	6.890740e-02	1.119964e-02	8.055956e-05	1.539043e-03	5.474693e-06	4.083474e-06
